id_group, bary_x, bary_y,bary_convex_x,bary_convex_y, speed_bary_x, speed_bary_y, popu_group, nb_group, plus-proche, time
99,136.57387,101.018684,136.57387,101.018684,0.17239505,1.9925562,1,99,80,3
100,648.72174,239.20882,648.72174,239.20882,1.4853594,1.3392936,1,99,68,3
102,320.0436,542.9686,320.0436,542.9686,-1.3519295,-1.1873358,3,99,79,3
103,318.98727,281.91776,318.98727,281.91776,-1.4013324,-1.3126415,1,99,22,3
104,742.40674,120.52786,747.3739,119.6062,0.8258804,-1.563338,4,99,34,3
105,444.57538,826.471,444.57538,826.471,1.8769664,0.3659062,3,99,107,3
106,113.23749,813.5354,113.23749,813.5354,-1.9530705,-0.024195552,2,99,63,3
107,428.45273,899.48,428.45273,899.48,-0.9100042,1.3935242,1,99,105,3
109,33.411617,864.1926,33.411617,864.1926,-1.2067068,1.2671943,2,99,94,3
1,180.578,674.69366,180.578,674.69366,-1.847472,0.47735578,1,100,60,4
2,44.873436,730.8605,44.873436,730.8605,-0.03232029,1.6408852,2,100,91,4
3,308.27432,133.2754,308.27432,133.2754,-0.34205344,-1.9705328,1,100,96,4
4,549.7713,604.38916,549.7713,604.38916,-1.4885254,0.84968776,1,100,35,4
5,477.30286,467.38318,477.30286,467.38318,1.5463557,-0.7898141,3,100,53,4
6,752.5144,444.71313,752.5144,444.71313,1.6523778,-0.87223566,2,100,92,4
7,497.6953,736.9066,497.6953,736.9066,-0.048491552,-1.9436024,1,100,85,4
8,433.49658,557.20825,433.49658,557.20825,1.1070995,1.5793606,2,100,79,4
9,98.4952,292.3836,98.4952,292.3836,-0.37410316,-1.8013995,2,100,49,4
10,9.986169,593.2537,9.986169,593.2537,-0.44251007,-0.85412437,2,100,52,4
11,899.6877,833.6837,899.6877,833.6837,1.7119635,-0.72700536,1,100,69,4
12,227.1551,101.472046,227.1551,101.472046,-1.1665612,-1.6245414,1,100,38,4
13,23.27918,448.17303,24.456781,448.92136,-0.21546692,0.5415294,5,100,112,4
16,450.7616,341.4931,450.7616,341.4931,-1.3437396,-0.7550854,3,100,53,4
17,198.99207,886.6622,198.99207,886.6622,-0.52145773,0.334487,2,100,48,4
18,482.21048,244.45525,482.21048,244.45525,1.2873406,-1.5306058,1,100,28,4
19,375.2262,730.27765,375.2262,730.2776,-1.5794328,-0.6293604,4,100,51,4
20,568.2917,452.92148,568.2917,452.92148,1.2339659,1.573953,1,100,83,4
22,363.72757,301.08344,363.72757,301.08344,-1.9920269,0.1784056,1,100,103,4
23,655.79645,859.8666,655.79645,859.8666,-1.6145298,0.60155964,1,100,25,4
